"","case_number","recalled","recalled_log","recovered","date","month","month_name","Season","year","species","reason","recall_class","summary","dup","rec_text","recovered_text","recovered_log","Pr_recov","Pr_recov_log","year_n"
"71","084-2015",18000,4.25529663190434,11573,"5/29/15",5,"May","Spring",2015,"poultry","Undeclared Allergen","Class I",FALSE,FALSE,"18000","11573",4.06348347802753,0.642944444444444,-0.191813153876812,21
"72","085-2015",16000,4.20414712521285,0,"6/3/15",6,"June","Spring",2015,"beef","STEC","Class I",FALSE,FALSE,"16000","0",0,0,-4.20414712521285,21
"73","087-2015",49308,4.69292619500963,0,"6/4/15",6,"June","Spring",2015,"pork","Extraneous Material","Class I",FALSE,FALSE,"49308","0",0,0,-4.69292619500963,21
"74","086-2015",29052,4.46319098409901,0,"6/4/15",6,"June","Spring",2015,"mixed","Other","Class II",FALSE,FALSE,"29052","0",0,0,-4.46319098409901,21
"75","088-2015",11670,4.06710806905957,3330,"6/6/15",6,"June","Spring",2015,"poultry","Undeclared Allergen","Class II",FALSE,FALSE,"11670","3330",3.52257463269118,0.285347043701799,-0.544533436368388,21
"76","090-2015",529,2.72427586960079,2,"6/12/15",6,"June","Spring",2015,"beef","Other","Class II",FALSE,FALSE,"529","2",0.477121254719662,0.00378071833648393,-2.24715461488113,21
"77","091-2015",36,1.56820172406699,18,"6/15/15",6,"June","Spring",2015,"pork","Other","Class I",FALSE,FALSE,"36","18",1.27875360095283,0.5,-0.289448123114166,21
"78","092-2015",25380,4.4045087291033,0,"6/16/15",6,"June","Spring",2015,"pork","Undeclared Allergen","Class II",FALSE,FALSE,"25380","0",0,0,-4.4045087291033,21
"79","094-2015",2478,3.39427652676782,100,"6/20/15",6,"June","Spring",2015,"mixed","Listeria","Class I",FALSE,FALSE,"2478","100",2.00432137378264,0.0403551251008878,-1.38995515298518,21
"80","095-2015",67232,4.8275824903173,3872,"6/26/15",6,"June","Summer",2015,"beef","Other","Class I",FALSE,FALSE,"67232","3872",3.58804749698608,0.0575916230366492,-1.23953499333122,21
"81","097-2015",26975,4.43097755294465,3087,"7/3/15",7,"July","Summer",2015,"beef","STEC","Class I",FALSE,FALSE,"26975","3087",3.4896772916637,0.114439295644115,-0.94130026128095,21
"82","098-2015",1540,3.18780263871842,1045,"7/7/15",7,"July","Summer",2015,"beef","Other","Class I",FALSE,FALSE,"1540","1045",3.01953168453126,0.678571428571429,-0.168270954187164,21
"83","099-2015",495,2.6954816764902,0,"7/10/15",7,"July","Summer",2015,"poultry","Extraneous Material","Class II",FALSE,FALSE,"495","0",0,0,-2.6954816764902,21
"84","100-2015",20232,4.3060602815276,0,"7/15/15",7,"July","Summer",2015,"poultry","Other","Class I",FALSE,FALSE,"20232","0",0,0,-4.3060602815276,21
"85","102-2015",5960,3.77531912182948,1050,"7/16/15",7,"July","Summer",2015,"mixed","Other","Class III",FALSE,FALSE,"5960","1050",3.02160271602824,0.176174496644295,-0.753716405801236,21
"86","103-2015",778,2.89153745767256,381,"7/20/15",7,"July","Summer",2015,"mixed","Undeclared Substance","Class III",FALSE,FALSE,"778","381",2.58206336291171,0.489717223650386,-0.309474094760855,21
"87","104-2015",NA,NA,4360,"7/23/15",7,"July","Summer",2015,"beef","STEC","Class I",FALSE,FALSE,NA,"4360",3.63958608667343,NA,NA,21
"88","107-2015",17,1.25527250510331,0,"8/3/15",8,"August","Summer",2015,"mixed","Other","Class II",FALSE,FALSE,"17","0",0,0,-1.25527250510331,21
"89","108-2015",7368,3.86740855652279,0,"8/7/15",8,"August","Summer",2015,"poultry","Other","Class II",FALSE,FALSE,"7368","0",0,0,-3.86740855652279,21
"90","109-2015",185,2.26951294421792,3,"8/11/15",8,"August","Summer",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"185","3",0.602059991327962,0.0162162162162162,-1.66745295288995,21
"91","112-2015",3950,3.59670702968145,0,"8/17/15",8,"August","Summer",2015,"beef","Other","Class I",FALSE,FALSE,"3950","0",0,0,-3.59670702968145,21
"92","114-2015",6644,3.82249498527875,439,"8/26/15",8,"August","Summer",2015,"poultry","Undeclared Allergen","Class II",FALSE,FALSE,"6644","439",2.64345267648619,0.0660746538229982,-1.17904230879256,21
"93","118-2015",501509,5.70027959718001,118881,"8/31/15",8,"August","Summer",2015,"beef","Undeclared Substance","Class III",FALSE,FALSE,"501509","118881",5.0751161027898,0.237046593381176,-0.625163494390209,21
"94","121-2015",20,1.32221929473392,20,"9/8/15",9,"September","Summer",2015,"beef","STEC","Class I",FALSE,FALSE,"20","20",1.32221929473392,1,0,21
"95","120-2015",5391,3.73174988352726,5250,"9/8/15",9,"September","Summer",2015,"pork","Other","Class I",FALSE,FALSE,"5391","5250",3.72024201828706,0.97384529771842,-0.0115078652402065,21
"96","123-2015",1280,3.10754912974469,35,"9/16/15",9,"September","Summer",2015,"pork","Other","Class I",FALSE,FALSE,"1280","35",1.55630250076729,0.02734375,-1.5512466289774,21
"97","125-2015",216,2.33645973384853,22,"9/25/15",9,"September","Autumn",2015,"poultry","Undeclared Allergen","Class II",FALSE,FALSE,"216","22",1.36172783601759,0.101851851851852,-0.974731897830937,21
"98","126-2015",230,2.36361197989214,206,"9/29/15",9,"September","Autumn",2015,"mixed","Undeclared Allergen","Class I",FALSE,FALSE,"230","206",2.31597034545692,0.895652173913044,-0.0476416344352266,21
"99","128-2015",276,2.44247976906445,0,"10/20/15",10,"October","Autumn",2015,"poultry","Undeclared Allergen","Class I",FALSE,FALSE,"276","0",0,0,-2.44247976906445,21
"100","129-2015",25920,4.4136517520637,0,"10/22/15",10,"October","Autumn",2015,"poultry","Other","Class I",FALSE,FALSE,"25920","0",0,0,-4.4136517520637,21
