,case_number,recalled,recalled_log,recovered,date,month,month_name,Season,year,species,reason,recall_class,summary,dup
110,142-2015,59028,4.771065426,41930,11/19/15,11,November,Autumn,2015,mixed,Undeclared Allergen,Class II,FALSE,FALSE
111,143-2015,NA,NA,982,11/25/15,11,November,Autumn,2015,beef,Undeclared Allergen,Class II,FALSE,FALSE
112,144-2015,1754,3.244277121,0,11/27/15,11,November,Autumn,2015,mixed,Other,Class I,FALSE,FALSE
113,145-2015,152010,5.181875016,8316,12/3/15,12,December,Autumn,2015,mixed,Undeclared Allergen,Class I,FALSE,FALSE
114,146-2015,12146,4.084469031,1808,12/9/15,12,December,Autumn,2015,pork,Undeclared Allergen,Class II,FALSE,FALSE
115,001-2014,33840,4.529443188,NA,1/10/14,1,January,Winter,2014,poultry,Salmonella,Class I,TRUE,FALSE
116,002-2014,42103,4.624323357,NA,1/13/14,1,January,Winter,2014,beef,Other,Class I,TRUE,FALSE
117,003-2014,2664,3.425697213,NA,1/15/14,1,January,Winter,2014,beef,Undeclared Allergen,Class I,TRUE,FALSE
118,005-2014,67113,4.826813124,18997,1/17/14,1,January,Winter,2014,pork,Listeria,Class I,TRUE,FALSE
119,004-2014,130000,5.113946693,11852,1/17/14,1,January,Winter,2014,mixed,Undeclared Allergen,Class II,TRUE,FALSE
120,006-2014,1770000,6.247973512,339814,1/19/14,1,January,Winter,2014,beef,Undeclared Allergen,Class II,TRUE,FALSE
121,007-2014,1250000,6.09691036,154110,1/27/14,1,January,Winter,2014,poultry,Undeclared Allergen,Class II,TRUE,FALSE
122,008-2014,2446,3.388633969,NA,1/30/14,1,January,Winter,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
123,009-2014,144000,5.158365508,1804,2/1/14,2,February,Winter,2014,mixed,Undeclared Allergen,Class II,TRUE,FALSE
124,011-2014,54673,4.737780848,27068,2/4/14,2,February,Winter,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
125,010-2014,15865,4.20046745,NA,2/4/14,2,February,Winter,2014,beef,STEC,Class I,TRUE,FALSE
126,013-2014,8742700,6.941645626,NA,2/8/14,2,February,Winter,2014,beef,Other,Class I,TRUE,FALSE
127,012-2014,365,2.563481085,NA,2/8/14,2,February,Winter,2014,beef,Processing Defect,Class I,TRUE,FALSE
128,014-2014,90000,4.954247335,65000,2/11/14,2,February,Winter,2014,beef,Undeclared Allergen,Class II,TRUE,FALSE
129,015-2014,309594,5.490793938,NA,2/15/14,2,February,Winter,2014,poultry,Salmonella,Class I,TRUE,FALSE
130,016-2014,8895,3.949194774,1440,2/22/14,2,February,Winter,2014,mixed,Other,Class II,TRUE,FALSE
131,017-2014,1282,3.108226656,4362,2/26/14,2,February,Winter,2014,mixed,Other,Class I,TRUE,FALSE
132,018-2014,29200,4.465397724,800,3/7/14,3,March,Winter,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
133,019-2014,8730,3.941063988,NA,4/1/14,4,April,Spring,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
134,020-2014,633,2.802089258,NA,4/2/14,4,April,Spring,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
135,021-2014,75320,4.876916077,NA,4/4/14,4,April,Spring,2014,poultry,Extraneous Material,Class II,TRUE,FALSE
136,022-2014,5723,3.757699625,NA,4/17/14,4,April,Spring,2014,mixed,Other,Class II,TRUE,FALSE
137,023-2014,24000,4.380229337,3740,4/19/14,4,April,Spring,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
138,024-2014,96000,4.982275757,NA,4/20/14,4,April,Spring,2014,mixed,Undeclared Allergen,Class I,TRUE,FALSE
139,025-2014,36,1.568201724,NA,4/24/14,4,April,Spring,2014,pork,Other,Class I,TRUE,FALSE
140,026-2014,350,2.545307116,129,4/25/14,4,April,Spring,2014,pork,Undeclared Allergen,Class II,TRUE,FALSE
141,027-2014,130,2.117271296,NA,5/3/14,5,May,Spring,2014,poultry,Listeria,Class I,TRUE,FALSE
142,028-2014,222000,5.346354931,1098,5/16/14,5,May,Spring,2014,pork,Other,Class I,TRUE,FALSE
143,029-2014,449000,5.652247308,3311,5/16/14,5,May,Spring,2014,pork,Other,Class III,TRUE,FALSE
144,030-2014,1800000,6.255272746,35024,5/19/14,5,May,Spring,2014,beef,STEC,Class I,TRUE,FALSE
145,031-2014,23250,4.366441636,15070,5/21/14,5,May,Spring,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
146,032-2014,568503,5.754733525,1019,5/23/14,5,May,Spring,2014,beef,Undeclared Allergen,Class I,TRUE,FALSE
147,033-2014,363,2.561101384,120,5/29/14,5,May,Spring,2014,poultry,Other,Class III,TRUE,FALSE
148,034-2014,4012,3.60346916,NA,6/11/14,6,June,Spring,2014,beef,Other,Class II,TRUE,FALSE
149,035-2014,3156,3.499274582,3450,6/13/14,6,June,Spring,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
150,037-2014,3660,3.563599729,0,6/19/14,6,June,Spring,2014,pork,Undeclared Allergen,Class II,TRUE,FALSE
151,036-2014,12180,4.085682943,3664,6/19/14,6,June,Spring,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
152,038-2014,332,2.522444234,299,6/21/14,6,June,Spring,2014,pork,Undeclared Allergen,Class I,TRUE,FALSE
153,040-2014,34,1.544068044,34,6/25/14,6,June,Summer,2014,pork,Undeclared Substance,Class III,TRUE,FALSE
154,039-2014,1761,3.246005904,NA,6/25/14,6,June,Summer,2014,mixed,Undeclared Allergen,Class II,TRUE,FALSE
155,041-2014,14760,4.16911578,20,6/26/14,6,June,Summer,2014,pork,Undeclared Allergen,Class II,TRUE,FALSE
156,042-2014,5896,3.770631128,3126,6/27/14,6,June,Summer,2014,pork,Extraneous Material,Class II,TRUE,FALSE
157,044-2014,0,0,101302,7/3/14,7,July,Summer,2014,poultry,Salmonella,Class I,TRUE,FALSE
158,043-2014,75465,4.877751331,NA,7/3/14,7,July,Summer,2014,beef,Extraneous Material,Class I,TRUE,FALSE
159,045-2014,59,1.77815125,5,7/4/14,7,July,Summer,2014,poultry,Other,Class I,TRUE,FALSE
160,046-2014,202,2.307496038,0,7/18/14,7,July,Summer,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
161,047-2014,82440,4.916143251,NA,7/22/14,7,July,Summer,2014,mixed,Undeclared Allergen,Class II,TRUE,FALSE
162,048-2014,475,2.677606953,NA,7/24/14,7,July,Summer,2014,mixed,Listeria,Class I,TRUE,FALSE
163,049-2014,2476,3.393926007,39,7/26/14,7,July,Summer,2014,poultry,Undeclared Allergen,Class I,TRUE,FALSE
164,050-2014,106800,5.028575319,64785,8/6/14,8,August,Summer,2014,mixed,Undeclared Allergen,Class I,TRUE,FALSE
165,051-2014,57578,4.760264118,2703,8/9/14,8,August,Summer,2014,poultry,Processing Defect,Class III,TRUE,FALSE
166,052-2014,15306,4.184890082,1093,8/12/14,8,August,Summer,2014,poultry,Extraneous Material,Class II,TRUE,FALSE
167,053-2014,368,2.567026366,NA,8/15/14,8,August,Summer,2014,beef,STEC,Class I,TRUE,FALSE
168,054-2014,92657,4.966882922,NA,8/21/14,8,August,Summer,2014,poultry,Listeria,Class I,TRUE,FALSE
169,055-2014,8316,3.919966701,2088,8/27/14,8,August,Summer,2014,poultry,Listeria,Class I,TRUE,FALSE
170,056-2014,720,2.857935265,0,9/6/14,9,September,Summer,2014,poultry,Processing Defect,Class II,TRUE,FALSE
171,058-2014,0,0,NA,9/12/14,9,September,Summer,2014,beef,Other,Class I,TRUE,FALSE
172,057-2014,4820,3.683137131,NA,9/12/14,9,September,Summer,2014,pork,Undeclared Allergen,Class I,TRUE,FALSE
173,059-2014,607,2.783903579,176,9/23/14,9,September,Summer,2014,beef,Other,Class I,TRUE,FALSE
174,060-2014,39747,4.599315281,NA,9/25/14,9,September,Autumn,2014,poultry,Listeria,Class I,TRUE,FALSE
175,061-2014,23100,4.36363078,NA,9/25/14,9,September,Autumn,2014,beef,STEC,Class I,TRUE,FALSE
176,062-2014,8,0.954242509,22,9/27/14,9,September,Autumn,2014,beef,Other,Class I,TRUE,FALSE
177,063-2014,2633,3.420615771,NA,9/30/14,9,September,Autumn,2014,beef,Extraneous Material,Class III,TRUE,FALSE
178,064-2014,160,2.206825876,0,10/2/14,10,October,Autumn,2014,pork,Other,Class I,TRUE,FALSE
179,065-2014,48,1.69019608,NA,10/3/14,10,October,Autumn,2014,beef,Other,Class I,TRUE,FALSE
180,066-2014,90987,4.958984119,NA,10/4/14,10,October,Autumn,2014,beef,Extraneous Material,Class II,TRUE,FALSE
181,067-2014,540,2.733197265,347,10/6/14,10,October,Autumn,2014,beef,Processing Defect,Class I,TRUE,FALSE
182,068-2014,62488,4.795803575,NA,10/7/14,10,October,Autumn,2014,mixed,Listeria,Class I,TRUE,FALSE
183,069-2014,1008,3.003891166,92,10/14/14,10,October,Autumn,2014,mixed,Undeclared Allergen,Class I,TRUE,FALSE
184,070-2014,115505,5.062604544,30580,10/16/14,10,October,Autumn,2014,poultry,Undeclared Allergen,Class II,TRUE,FALSE
185,071-2014,27948,4.446366274,540,10/17/14,10,October,Autumn,2014,mixed,Other,Class I,TRUE,FALSE
186,073-2014,28980,4.462113367,1234,10/24/14,10,October,Autumn,2014,poultry,Salmonella,Class I,TRUE,FALSE
187,072-2014,377,2.5774918,0,10/24/14,10,October,Autumn,2014,poultry,Undeclared Allergen,Class II,TRUE,FALSE
188,074-2014,31689,4.500922239,NA,10/25/14,10,October,Autumn,2014,poultry,Other,Class I,TRUE,FALSE
189,075-2014,25765,4.411047002,NA,10/30/14,10,October,Autumn,2014,mixed,Other,Class I,TRUE,FALSE
190,076-2014,6560,3.816970038,3868,11/6/14,11,November,Autumn,2014,pork,Undeclared Allergen,Class I,TRUE,FALSE
191,077-2014,4465,3.649918719,NA,11/9/14,11,November,Autumn,2014,pork,Undeclared Allergen,Class II,TRUE,FALSE
192,078-2014,2059,3.31386722,NA,11/14/14,11,November,Autumn,2014,mixed,Undeclared Allergen,Class I,TRUE,FALSE
193,079-2014,1208951,6.082409058,281790,11/15/14,11,November,Autumn,2014,mixed,Undeclared Allergen,Class I,TRUE,FALSE
194,080-2014,2902,3.462847036,307,11/19/14,11,November,Autumn,2014,pork,Undeclared Allergen,Class II,TRUE,FALSE
